oznam_title,contracting_authority_name,druh_postupu,druh_zakazky,druh_obstaravatela_clean,hlavna_cinnost_clean,main_cpv_code,cpv_others,deli_sa_casti,varianty,typ_obdobie,dlzka_zakazky_cleaned,kriteria_ponuk,el_aukcia,predch_uverejnen_zakazky,ziskanie_podkladov_deadline,ucast_deadline,published_on,bude_sa_opakovat_zakazka,eu_fondy,odoslanie_oznamenia,typ_ceny_oznamenia,estimatedpricecleaned,nazov_typu_oznamenia,miesto_prac_zakazky,estimatedprice_from_result,pocet_prijatych_ponuk,pocet_prijatych_el_ponuk,total_final_value_amount_clean,total_final_value_vat_included,total_final_value_vat_rate,total_final_value_amount_minus_vat,price_ratio,overpriced,druh_obstaravatela_clean_par
Kanalizácia a ČOV Sereď,"Západoslovenská vodárenská spoločnosť, a.s.",Otvorená,Práce,"OBSTARÁVATEĽ, KTORÝ POSTUPUJE AKO VEREJNÝ OBSTARÁVATEĽ V SÚLADE S § 7 ODS. 4 ZÁKONA O VEREJNOM OBSTARÁVANÍ",ŽIVOTNÉ PROSTREDIE,45232400-6,"{45232423-3,45252127-4,71320000-7,35261000-1}",Nie,Nie,v mesiacoch (od zadania zákazky),18,Iné,Áno,Áno,11/18/2014 12:00:00 AM,11/18/2014 12:00:00 AM,10/13/2014 12:00:00 AM,Nie,Áno,10/7/2014 12:00:00 AM,Jedna hodnota,13901401.85,vyhlásenie verejnej súťaže (stavebné práce),SK023,13901401.85,6,0,11530000,False,"",11530000,0.829412754512956,no,paragraf §7
"Technický dozor, inžinierska a manažérska činnosť stavieb : ""Prístavba diagnostického centra"" a "" Výstavba pavilónu detského kardiocentra ""","Národný ústav srdcových a cievnych chorôb, a.s.",Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,71315300-2,"{71300000-1,71247000-1}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Áno,Nie,11/30/2015 12:00:00 AM,11/30/2015 12:00:00 AM,10/20/2015 12:00:00 AM,"",Nie,10/15/2015 12:00:00 AM,Jedna hodnota,375000,vyhlásenie verejnej súťaže (služby),SK01,375000,4,0,348000,False,"",348000,0.928,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
"Výkon servisnej činnosti, opráv technologickej časti a výkon odborných prehliadok a odborných skúšok tunela Branisko a informačného systému diaľnice stavby: Diaľnica D1 - Jablonov - Studenec - Beharovce - Fričovce.","Národná diaľničná spoločnosť, a.s.",Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,"PRÍPRAVA, VÝSTAVBA, PREVÁDZKA A ÚDRŽBA DIAĽNIC A RÝCHLOSTNÝCH CIEST.",50232200-2,"{50312300-8,50312600-1,50330000-7,50333000-8,50334400-9,50343000-1,50344000-8,50413200-5,50532000-3}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Iné,Nie,Áno,9/10/2015 12:00:00 AM,9/10/2015 12:00:00 AM,8/14/2015 12:00:00 AM,"",Nie,8/10/2015 12:00:00 AM,Jedna hodnota,3600000,vyhlásenie verejnej súťaže (služby),SK041,3600000,3,0,3155421,False,"",3155421,0.876505833333333,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Digitálny skiagrafický prístroj,Nemocnica Poprad a. s.,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,33111600-7,"",Nie,Nie,v mesiacoch (od zadania zákazky),3,Iné,Áno,Nie,12/14/2015 12:00:00 AM,12/14/2015 12:00:00 AM,10/30/2015 12:00:00 AM,Nie,Nie,10/27/2015 12:00:00 AM,Rozpätie hodnôt,330685,vyhlásenie verejnej súťaže (tovary),SK041,250000,2,0,231416.67,False,"",231416.67,0.699810000453604,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Komplementárna linka kovoobrábania,"Pekáreň Čingov Smižany, s.r.o.",Otvorená,Tovary,OSOBA PODĽA §7 ODS. 1,HOSPODÁRSTVO A FINANČNÉ ZÁLEŽITOSTI,42630000-1,"{42123400-1,42414500-6,42636100-4,42633000-2}",Nie,Nie,v mesiacoch (od zadania zákazky),4,Najnižšia cena,Áno,Nie,10/28/2014 12:00:00 AM,10/28/2014 12:00:00 AM,9/16/2014 12:00:00 AM,Nie,Áno,9/11/2014 12:00:00 AM,Jedna hodnota,196068,vyhlásenie verejnej súťaže (tovary),SK042,196068,3,0,191000,False,"",191000,0.974151824877083,no,paragraf §7
"Dodanie a inštalácia technologického zariadenia riadeného CNC 3 - osového stroja v rámci projektu ""Zvýšenie konkurencieschopnosti BD-FOAM, s.r.o. zavedením inovatívnej technológie na rezanie tvarových dielcov z PUR-peny"".","BD-FOAM, s.r.o.",Otvorená,Tovary,§ 7 ODS. 1 ZVO,VÝROBA A PREDAJ TOVARU Z PLASTOV,42611000-2,"",Nie,Nie,v mesiacoch (od zadania zákazky),6,Najnižšia cena,Áno,Nie,8/18/2014 12:00:00 AM,8/18/2014 12:00:00 AM,7/3/2014 12:00:00 AM,Nie,Áno,6/30/2014 12:00:00 AM,Jedna hodnota,221465,vyhlásenie verejnej súťaže (tovary),SK031,221465,3,3,221465,False,"",221465,1,yes,paragraf §7
Zabezpečenie dodávky zariadení kancelárskej výpočtovej techniky,"Sociálna poisťovňa, ústredie",Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,SOCIÁLNE POISTENIE,30213000-5,"{30213300-8,30213100-6,30216110-0}",Nie,Nie,v mesiacoch (od zadania zákazky),12,Najnižšia cena,Áno,Áno,12/10/2015 12:00:00 AM,12/10/2015 12:00:00 AM,10/30/2015 12:00:00 AM,Nie,Nie,10/27/2015 12:00:00 AM,Jedna hodnota,1052000,vyhlásenie verejnej súťaže (tovary),SK0,1052000,2,2,1256220,True,20,1004976,0.955300380228137,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Servis a dodávka originálnych náhradných dielov pre vozidlá továrenskej značky BMW,"Automobilové opravovne Ministerstva vnútra Slovenskej republiky, a. s.",Otvorená,Tovary,PODĽA § 6 ODS. 1 PÍSM. F) ZÁKONA Č. 25/2006 Z. Z. O VEREJNOM OBSTARÁVANÍ A O ZMENE A DOPLNENÍ NIEKTORÝCH ZÁKONOV V ZNENÍ NESKORŠÍCH PREDPISOV,PODĽA ZÁKONA: § 6 ODS. 1 PÍSM. F),34330000-9,"",Nie,Nie,v mesiacoch (od zadania zákazky),36,Iné,Áno,Nie,9/7/2015 12:00:00 AM,9/7/2015 12:00:00 AM,7/27/2015 12:00:00 AM,"",Nie,7/22/2015 12:00:00 AM,Jedna hodnota,500000,vyhlásenie verejnej súťaže (tovary),SK0,500000,4,4,500000,False,"",500000,1,yes,paragraf §6
Polygrafické služby,Slovenská technická univerzita v Bratislave - Rektorát,Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,VZDELÁVANIE,79800000-2,"{79971000-1,79822500-7}",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Áno,Nie,11/12/2015 12:00:00 AM,11/12/2015 12:00:00 AM,9/29/2015 12:00:00 AM,Nie,Nie,9/25/2015 12:00:00 AM,Jedna hodnota,350000,vyhlásenie verejnej súťaže (služby),SK0,350000,6,0,350000,False,"",350000,1,yes,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Laboratórna technika,Výskumný ústav vodného hospodárstva,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ŽIVOTNÉ PROSTREDIE,38000000-5,"{38434000-6,38433000-9,38432200-4,38511000-0,38520000-6,38424000-3,38436000-0}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Áno,Áno,6/8/2015 12:00:00 AM,6/8/2015 12:00:00 AM,4/27/2015 12:00:00 AM,"",Áno,4/23/2015 12:00:00 AM,Jedna hodnota,15600000,vyhlásenie verejnej súťaže (tovary),SK010,15600000,3,0,18608372.4,True,20,14886697.92,0.954275507692308,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Dodávka a montáž kovových archívnych regálov a kovového interiérového vybavenia,Finančné riaditeľstvo Slovenskej republiky,Otvorená,Tovary,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,VŠEOBECNÉ VEREJNÉ SLUŽBY,30191100-5,"",Nie,Nie,v mesiacoch (od zadania zákazky),48,Iné,Áno,Nie,11/10/2014 12:00:00 AM,11/10/2014 12:00:00 AM,9/22/2014 12:00:00 AM,Nie,Nie,9/17/2014 12:00:00 AM,Jedna hodnota,170400,vyhlásenie verejnej súťaže (tovary),SK0,170400,2,0,199567,True,20,159653.6,0.93693427230047,no,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
"KE, Modernizácia električkových tratí MET v meste Košice, projektová dokumentácia",Mesto Košice,Otvorená,Služby,REGIONÁLNY ALEBO MIESTNY ORGÁN,SAMOSPRÁVA,71320000-7,{71311230-2},Nie,Nie,v mesiacoch (od zadania zákazky),25,Najnižšia cena,Nie,Áno,11/26/2014 12:00:00 AM,11/26/2014 12:00:00 AM,10/13/2014 12:00:00 AM,"",Áno,10/8/2014 12:00:00 AM,Jedna hodnota,1780113,vyhlásenie verejnej súťaže (služby),SK042,1780113,2,0,1680000,False,"",1680000,0.943760311845372,no,REGIONÁLNY ALEBO MIESTNY ORGÁN
Zabezpečenie dodávky zemného plynu pre odberné miesta samosprávy mesta Komárno,Mesto Komárno,Otvorená,Tovary,REGIONÁLNY ALEBO MIESTNY ORGÁN,SAMOSPRÁVNA ČINNOSŤ,09123000-7,"",Nie,Nie,lehoty uskutočnenia,,Najnižšia cena,Áno,Nie,10/14/2014 12:00:00 AM,10/14/2014 12:00:00 AM,9/2/2014 12:00:00 AM,Nie,Nie,8/28/2014 12:00:00 AM,Jedna hodnota,515961.3,vyhlásenie verejnej súťaže (tovary),SK023,515961.3,2,0,509929,True,20,407943.2,0.790646895416381,no,REGIONÁLNY ALEBO MIESTNY ORGÁN
"Diaľnica D1 Senec - Blatné, križovatka Blatné","Národná diaľničná spoločnosť, a.s.",Otvorená,Práce,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,"PRÍPRAVA, VÝSTAVBA A PREVÁDZKA DIAĽNIC A RÝCHLOSTNÝCH KOMUNIKÁCIÍ",45000000-7,"",Nie,Nie,v dňoch (od zadania zákazky),20.2666666666667,Najnižšia cena,Nie,Áno,12/21/2015 12:00:00 AM,12/21/2015 12:00:00 AM,11/11/2015 12:00:00 AM,"",Nie,11/6/2015 12:00:00 AM,Jedna hodnota,24120000,vyhlásenie verejnej súťaže (stavebné práce),SK01,24120000,2,0,23298958.8,False,"",23298958.8,0.965960149253731,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Zlepšenie kvality ovzdušia zvýšenia čistoty v obci Klasov,Obec Klasov,Otvorená,Tovary,REGIONÁLNY ALEBO MIESTNY ORGÁN,VŠEOBECNÉ VEREJNÉ SLUŽBY,34144400-2,{34144430-1},Nie,Nie,v dňoch (od zadania zákazky),1,Najnižšia cena,Áno,Nie,9/29/2015 12:00:00 AM,9/29/2015 12:00:00 AM,8/20/2015 12:00:00 AM,Nie,Nie,8/14/2015 12:00:00 AM,Jedna hodnota,210150,vyhlásenie verejnej súťaže (tovary),SK023,210150,2,0,209520,True,20,167616,0.797601713062098,no,REGIONÁLNY ALEBO MIESTNY ORGÁN
"Pestovateľská činnosť na OZ Žilina, LS Turčianske Teplice na roky 2016-2017","LESY Slovenskej republiky, štátny podnik",Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,SPRÁVA LESNÉHO A INÉHO MAJETKU VO VLASTNÍCTVE SLOVENSKEJ REPUBLIKY,77230000-1,"",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Nie,Nie,12/8/2015 12:00:00 AM,12/8/2015 12:00:00 AM,10/28/2015 12:00:00 AM,Nie,Nie,10/23/2015 12:00:00 AM,Jedna hodnota,520266,vyhlásenie verejnej súťaže (služby),SK031,520266,6,0,520266,False,"",520266,1,yes,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Obstaranie technológie na spracovanie zemiakov,"AT TATRY, spol. s r.o.",Otvorená,Tovary,§ 7,INÝ,42000000-6,{42200000-8},Nie,Nie,v dňoch (od zadania zákazky),2,Najnižšia cena,Áno,Nie,2/15/2016 12:00:00 AM,2/15/2016 12:00:00 AM,12/31/2015 12:00:00 AM,Nie,Áno,12/30/2015 12:00:00 AM,Jedna hodnota,324503,vyhlásenie verejnej súťaže (tovary),SK041,324503,3,0,324000,False,"",324000,0.998449937288715,no,paragraf §7
Zhotovenie a dodanie daňových tlačív,Finančné riaditeľstvo Slovenskej republiky,Otvorená,Služby,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,VŠEOBECNÉ VEREJNÉ SLUŽBY,79810000-5,"",Nie,Nie,v mesiacoch (od zadania zákazky),48,Iné,Áno,Áno,11/10/2014 12:00:00 AM,11/10/2014 12:00:00 AM,9/24/2014 12:00:00 AM,"",Nie,9/22/2014 12:00:00 AM,Jedna hodnota,900000,vyhlásenie verejnej súťaže (služby),SK0,900000,6,0,958000,True,20,766400,0.851555555555556,no,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
"Pestovateľská činnosť na OZ Žilina, LS Martin na roky 2016-2017","LESY Slovenskej republiky, štátny podnik",Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,SPRÁVA LESNÉHO A INÉHO MAJETKU VO VLASTNÍCTVE SLOVENSKEJ REPUBLIKY,77230000-1,"",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Nie,Nie,12/8/2015 12:00:00 AM,12/8/2015 12:00:00 AM,10/28/2015 12:00:00 AM,Nie,Nie,10/23/2015 12:00:00 AM,Jedna hodnota,454195,vyhlásenie verejnej súťaže (služby),SK,454195,7,0,454195,False,"",454195,1,yes,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Tonery,Štatistický úrad Slovenskej republiky,Otvorená,Tovary,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,VŠEOBECNÉ VEREJNÉ SLUŽBY,30125100-2,"{30125110-5,30125120-8,30192113-6,90500000-2}",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Áno,Nie,12/22/2014 12:00:00 AM,12/22/2014 12:00:00 AM,11/11/2014 12:00:00 AM,Nie,Nie,11/6/2014 12:00:00 AM,Jedna hodnota,195150,vyhlásenie verejnej súťaže (tovary),SK0,195150,3,0,163757.6,False,"",163757.6,0.839137074045606,no,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
Dodávka elektrickej energie,Národné poľnohospodárske a potravinárske centrum,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,VÝSKUM A VÝVOJ,09310000-5,"",Nie,Nie,v mesiacoch (od zadania zákazky),36,Najnižšia cena,Áno,Áno,12/14/2015 12:00:00 AM,12/14/2015 12:00:00 AM,10/30/2015 12:00:00 AM,Nie,Nie,10/27/2015 12:00:00 AM,Jedna hodnota,909699.45,vyhlásenie verejnej súťaže (tovary),SK0,909699.45,3,3,403135.71,False,"",403135.71,0.443152636840662,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Nákup technologickej linky na poťahovanie výrobkov čokoládou,Ing. Ján Cibulka - GCM - KOM,Otvorená,Tovary,§7 ODS. 1,PRIEMYSELNÁ VÝROBA,42215200-8,"",Nie,Nie,v mesiacoch (od zadania zákazky),6,Najnižšia cena,Áno,Nie,11/28/2014 12:00:00 AM,11/28/2014 12:00:00 AM,10/8/2014 12:00:00 AM,Nie,Áno,10/3/2014 12:00:00 AM,Jedna hodnota,318640,vyhlásenie verejnej súťaže (tovary),SK023,318640,3,0,318340,False,"",318340,0.999058498619131,no,paragraf §7
Poskytnutie audítorských a poradenských služieb za roky 2015-2018,"Národná diaľničná spoločnosť, a.s.",Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,"PRÍPRAVA, VÝSTAVBA, PREVÁDZKA A ÚDRŽBA DIAĽNIC A RÝCHLOSTNÝCH CIEST",79212200-5,{79412000-5},Nie,Nie,v dňoch (od zadania zákazky),0,Najnižšia cena,Nie,Áno,11/11/2014 12:00:00 AM,11/11/2014 12:00:00 AM,10/2/2014 12:00:00 AM,Nie,Nie,9/26/2014 12:00:00 AM,Jedna hodnota,1300000,vyhlásenie verejnej súťaže (služby),SK010,1300000,2,0,800000,False,"",800000,0.615384615384615,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Vaky na odber a spracovanie celej krvi a prenájom prístrojov na automatickú separáciu krvných zložiek.,Národná transfúzna služba SR,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,33141613-0,"{33194210-1,60000000-8}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Áno,Áno,12/29/2015 12:00:00 AM,12/29/2015 12:00:00 AM,12/1/2015 12:00:00 AM,Nie,Nie,11/26/2015 12:00:00 AM,Jedna hodnota,12288720,vyhlásenie verejnej súťaže (tovary),SK,12288720,1,0,11550560,False,"",11550560,0.939931905031606,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
"Spoločné obstarávanie poistných služieb pre obce patriace do ZMO,región JE Jaslovské Bohunice a ďalšie pristupujúce organizácie","Združenie miest a obcí, región JE Jaslovské Bohunice",Otvorená,Služby,REGIONÁLNY ALEBO MIESTNY ORGÁN,VŠEOBECNÉ VEREJNÉ SLUŽBY,66510000-8,"{66515200-5,66516400-4,66514110-0,66516100-1,66512100-3}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Nie,Nie,2/1/2016 12:00:00 AM,2/1/2016 12:00:00 AM,12/17/2015 12:00:00 AM,Nie,Nie,12/14/2015 12:00:00 AM,Rozpätie hodnôt,707841.12,vyhlásenie verejnej súťaže (služby),SK021,750000,2,0,733516.13,False,"",733516.13,1.03627227816321,yes,REGIONÁLNY ALEBO MIESTNY ORGÁN
Nákup a dodávka motorovej nafty do zásobníka,Služby mesta Piešťany,Otvorená,Tovary,§ 6 ODS. 1 PÍSM. D),VŠEOBECNÉ VEREJNÉ SLUŽBY,09134100-8,"",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Áno,Nie,3/23/2015 12:00:00 AM,3/23/2015 12:00:00 AM,2/11/2015 12:00:00 AM,Nie,Nie,2/9/2015 12:00:00 AM,Jedna hodnota,450000,vyhlásenie verejnej súťaže (tovary),SK021,450000,1,0,450000,False,"",450000,1,yes,paragraf §6
Kanalizácia a ČOV Zlaté Moravce,"Západoslovenská vodárenská spoločnosť, a.s.",Otvorená,Práce,"OBSTARÁVATEĽ, KTORÝ POSTUPUJE AKO VEREJNÝ OBSTARÁVATEĽ V SÚLADE S § 7 ODS. 4 ZÁKONA O VEREJNOM OBSTARÁVANÍ",ŽIVOTNÉ PROSTREDIE,45232400-6,"{45232423-3,45252127-4,71320000-7,35261000-1}",Nie,Nie,v mesiacoch (od zadania zákazky),18,Iné,Áno,Áno,8/14/2014 12:00:00 AM,8/14/2014 12:00:00 AM,7/17/2014 12:00:00 AM,"",Áno,7/12/2014 12:00:00 AM,Jedna hodnota,20000471.14,vyhlásenie verejnej súťaže (stavebné práce),SK023,20000471.14,5,0,17450000,False,"",17450000,0.872479447001667,no,paragraf §7
Investície do zlepšenia technologického vybavenia podniku - Ing. Jozef Kandráč.,Ing. Jozef Kandráč,Otvorená,Tovary,§ 7 ODS. 1.,VÝROBNO-OBCHODNÁ SPOLOČNOSŤ.,42000000-6,"{42715000-1,42718100-3,42710000-6}",Nie,Nie,v dňoch (od zadania zákazky),1.5,Najnižšia cena,Nie,Nie,3/2/2015 12:00:00 AM,3/2/2015 12:00:00 AM,1/19/2015 12:00:00 AM,Nie,Áno,1/13/2015 12:00:00 AM,Jedna hodnota,256650,vyhlásenie verejnej súťaže (tovary),SK041,256650,3,0,284910,False,"",284910,1.11011104617183,yes,paragraf §7
Kancelárske potreby pre projekty EÚ UK,Univerzita Komenského v Bratislave,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,VZDELÁVANIE,30192000-1,"{22816000-3,22852000-7,30192121-5,30197320-5,30192125-3}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Áno,Áno,2/20/2015 12:00:00 AM,2/20/2015 12:00:00 AM,1/14/2015 12:00:00 AM,"",Áno,1/9/2015 12:00:00 AM,Jedna hodnota,275000,vyhlásenie verejnej súťaže (tovary),SK01,275000,2,2,275000,False,"",275000,1,yes,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
"Nákup komplexnej linky na výrobu aseptických obalov určených pre balenie tekutých výrobkov, najmä potravín",McLLOYD´S s.r.o.,Otvorená,Tovary,§7 ODS. 1,PRIEMYSELNÁ VÝROBA,42921320-7,"",Nie,Nie,v mesiacoch (od zadania zákazky),6,Najnižšia cena,Áno,Nie,12/8/2014 12:00:00 AM,12/8/2014 12:00:00 AM,10/23/2014 12:00:00 AM,Nie,Áno,10/20/2014 12:00:00 AM,Jedna hodnota,328041,vyhlásenie verejnej súťaže (tovary),SK023,328041,3,0,329000,False,"",329000,1.00292341506092,yes,paragraf §7
Vrchný odev služobnej rovnošaty pre príslušníkov Policajného zboru a Hasičského a záchranného zboru,Ministerstvo vnútra Slovenskej republiky,Otvorená,Tovary,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,VŠEOBECNÉ VEREJNÉ SLUŽBY,18110000-3,"{18221200-6,18234000-8,18221000-4,18235400-9,18230000-0,18443300-9}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Áno,Áno,4/9/2015 12:00:00 AM,4/9/2015 12:00:00 AM,2/23/2015 12:00:00 AM,Nie,Nie,2/17/2015 12:00:00 AM,Jedna hodnota,8439900,vyhlásenie verejnej súťaže (tovary),SK0,8439900,2,0,8439900,False,"",8439900,1,yes,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
"Rekonštrukcia striech a fasád na ŠD Mladá garda, Račianska 103, 831 02 Bratislava","Slovenská technická univerzita v Bratislave, Účelové zariadienia Študentské domovy a jedálne",výzva,Práce,OP - ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,VZDELÁVANIE,45000000-7,"",Nie,"",v mesiacoch (od zadania zákazky),12,Najnižšia cena,Nie,"",6/29/2015 12:00:00 AM,6/29/2015 12:00:00 AM,6/9/2015 12:00:00 AM,"",Nie,6/5/2015 12:00:00 AM,Jedna hodnota,790000,výzva na predkladanie ponúk (stavebné práce),SK,"",14,0,523318.9,"","","",0.662428987341772,no,OP - ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
LOVCE - rekonštrukcia miestnej komunikácie,Obec Lovce,výzva,Práce,RO - REGIONÁLNY ALEBO MIESTNY ORGÁN,VŠEOBECNÉ VEREJNÉ SLUŽBY,45233120-6,"",Nie,"",v mesiacoch (od zadania zákazky),2,Iné,Nie,"",1/5/2016 12:00:00 AM,1/5/2016 12:00:00 AM,12/15/2015 12:00:00 AM,"",Áno,12/11/2015 12:00:00 AM,Jedna hodnota,98704.74,výzva na predkladanie ponúk (stavebné práce),SK023,"",3,0,96710.43,"","","",0.979795195245943,no,RO - REGIONÁLNY ALEBO MIESTNY ORGÁN
Rekonštrukcia chodníka v obci Slovenská Nová Ves,Obec Slovenská Nová Ves,výzva,Práce,RO - REGIONÁLNY ALEBO MIESTNY ORGÁN,VŠEOBECNÉ VEREJNÉ SLUŽBY,45233120-6,"",Nie,"",v mesiacoch (od zadania zákazky),2,Iné,Nie,"",1/5/2016 12:00:00 AM,1/5/2016 12:00:00 AM,12/15/2015 12:00:00 AM,"",Áno,12/11/2015 12:00:00 AM,Jedna hodnota,91610.64,výzva na predkladanie ponúk (stavebné práce),SK021,"",4,0,61583.32,"","","",0.672228902668948,no,RO - REGIONÁLNY ALEBO MIESTNY ORGÁN
Rekonštrukcia miestnej komunikácie Muránska Lehota,Obec Muránska Lehota,výzva,Práce,RO - REGIONÁLNY ALEBO MIESTNY ORGÁN,VŠEOBECNÉ VEREJNÉ SLUŽBY,45233142-6,"",Nie,"",v dňoch (od zadania zákazky),2,Najnižšia cena,Nie,"",12/23/2015 12:00:00 AM,12/23/2015 12:00:00 AM,12/3/2015 12:00:00 AM,"",Áno,12/1/2015 12:00:00 AM,Jedna hodnota,83298.45,výzva na predkladanie ponúk (stavebné práce),SK032,"",2,,82298.45,"","","",0.987994974696408,no,RO - REGIONÁLNY ALEBO MIESTNY ORGÁN
Výstavba a rekonštrukcia chdoníkov autobusových zastávok v obci Prusy,Obec Prusy,výzva,Práce,RO - REGIONÁLNY ALEBO MIESTNY ORGÁN,VŠEOBECNÉ VEREJNÉ SLUŽBY,45213315-4,"",Nie,"",v dňoch (od zadania zákazky),2,Najnižšia cena,Nie,"",12/23/2015 12:00:00 AM,12/23/2015 12:00:00 AM,12/4/2015 12:00:00 AM,"",Áno,12/2/2015 12:00:00 AM,Jedna hodnota,94080,výzva na predkladanie ponúk (stavebné práce),SK022,"",8,,96318.58,"","","",1.02379443027211,yes,RO - REGIONÁLNY ALEBO MIESTNY ORGÁN
SKÝCOV - rekonštrukcia miestnej komunikácie,Obec Skýcov,výzva,Práce,RO - REGIONÁLNY ALEBO MIESTNY ORGÁN,VŠEOBECNÉ VEREJNÉ SLUŽBY,45233120-6,"",Nie,"",v mesiacoch (od zadania zákazky),2,Iné,Nie,"",1/5/2016 12:00:00 AM,1/5/2016 12:00:00 AM,12/15/2015 12:00:00 AM,"",Áno,12/11/2015 12:00:00 AM,Jedna hodnota,96847.71,výzva na predkladanie ponúk (stavebné práce),SK023,"",4,0,86720.42,"","","",0.895430774769997,no,RO - REGIONÁLNY ALEBO MIESTNY ORGÁN
Autobusové zastávky v obci Nemešany - výstavba a rekonštrukcia I. etapa,Obec Nemešany,výzva,Práce,RO - REGIONÁLNY ALEBO MIESTNY ORGÁN,SAMOSPRÁVA,45000000-7,"",Nie,"",v mesiacoch (od zadania zákazky),6,Najnižšia cena,Nie,"",12/31/2015 12:00:00 AM,12/31/2015 12:00:00 AM,12/15/2015 12:00:00 AM,"",Áno,12/11/2015 12:00:00 AM,Jedna hodnota,69977.82,výzva na predkladanie ponúk (stavebné práce),SK041,"",2,,69530.33,"","","",0.99360525949508,no,RO - REGIONÁLNY ALEBO MIESTNY ORGÁN
